,²çäººæ¬¡,ºçäººæ¬¡
2023/10/2 5:20,0,0
2023/10/2 5:30,0,0
2023/10/2 5:40,0,0
2023/10/2 5:50,0,0
2023/10/2 6:00,48,63
2023/10/2 6:10,48,63
2023/10/2 6:20,48,63
2023/10/2 6:30,48,63
2023/10/2 6:40,48,63
2023/10/2 6:50,48,63
2023/10/2 7:00,160,306
2023/10/2 7:10,160,306
2023/10/2 7:20,160,306
2023/10/2 7:30,160,306
2023/10/2 7:40,160,306
2023/10/2 7:50,160,306
2023/10/2 8:00,264,576
2023/10/2 8:10,264,576
2023/10/2 8:20,264,576
2023/10/2 8:30,264,576
2023/10/2 8:40,264,576
2023/10/2 8:50,264,576
2023/10/2 9:00,176,445
2023/10/2 9:10,176,445
2023/10/2 9:20,176,445
2023/10/2 9:30,176,445
2023/10/2 9:40,176,445
2023/10/2 9:50,176,445
2023/10/2 10:00,115,318
2023/10/2 10:10,115,318
2023/10/2 10:20,115,318
2023/10/2 10:30,115,318
2023/10/2 10:40,115,318
2023/10/2 10:50,115,318
2023/10/2 11:00,118,278
2023/10/2 11:10,118,278
2023/10/2 11:20,118,278
2023/10/2 11:30,118,278
2023/10/2 11:40,118,278
2023/10/2 11:50,118,278
2023/10/2 12:00,181,286
2023/10/2 12:10,181,286
2023/10/2 12:20,181,286
2023/10/2 12:30,181,286
2023/10/2 12:40,181,286
2023/10/2 12:50,181,286
2023/10/2 13:00,182,255
2023/10/2 13:10,182,255
2023/10/2 13:20,182,255
2023/10/2 13:30,182,255
2023/10/2 13:40,182,255
2023/10/2 13:50,182,255
2023/10/2 14:00,152,200
2023/10/2 14:10,152,200
2023/10/2 14:20,152,200
2023/10/2 14:30,152,200
2023/10/2 14:40,152,200
2023/10/2 14:50,152,200
2023/10/2 15:00,193,210
2023/10/2 15:10,193,210
2023/10/2 15:20,193,210
2023/10/2 15:30,193,210
2023/10/2 15:40,193,210
2023/10/2 15:50,193,210
2023/10/2 16:00,263,188
2023/10/2 16:10,263,188
2023/10/2 16:20,263,188
2023/10/2 16:30,263,188
2023/10/2 16:40,263,188
2023/10/2 16:50,263,188
2023/10/2 17:00,499,328
2023/10/2 17:10,499,328
2023/10/2 17:20,499,328
2023/10/2 17:30,499,328
2023/10/2 17:40,499,328
2023/10/2 17:50,499,328
2023/10/2 18:00,601,398
2023/10/2 18:10,601,398
2023/10/2 18:20,601,398
2023/10/2 18:30,601,398
2023/10/2 18:40,601,398
2023/10/2 18:50,601,398
2023/10/2 19:00,362,248
2023/10/2 19:10,362,248
2023/10/2 19:20,362,248
2023/10/2 19:30,362,248
2023/10/2 19:40,362,248
2023/10/2 19:50,362,248
2023/10/2 20:00,246,158
2023/10/2 20:10,246,158
2023/10/2 20:20,246,158
2023/10/2 20:30,246,158
2023/10/2 20:40,246,158
2023/10/2 20:50,246,158
2023/10/2 21:00,272,162
2023/10/2 21:10,272,162
2023/10/2 21:20,272,162
2023/10/2 21:30,272,162
2023/10/2 21:40,272,162
2023/10/2 21:50,272,162
2023/10/2 22:00,266,124
2023/10/2 22:10,266,124
2023/10/2 22:20,266,124
2023/10/2 22:30,266,124
2023/10/2 22:40,266,124
2023/10/2 22:50,266,124
2023/10/2 23:00,94,48
2023/10/2 23:10,94,48
2023/10/2 23:20,94,48
2023/10/2 23:30,94,48
2023/10/2 23:40,94,48
2023/10/2 23:50,94,48
2023/10/3 0:00,40,22
2023/10/3 0:10,40,22
2023/10/3 0:20,40,22
2023/10/3 0:30,40,22
2023/10/3 0:40,40,22
2023/10/3 0:50,40,22
2023/10/3 1:00,1,0
2023/10/3 1:10,1,0
2023/10/3 1:20,1,0
2023/10/3 1:30,1,0
2023/10/3 1:40,1,0
2023/10/3 1:50,1,0
2023/10/3 2:00,1,0
2023/10/3 2:10,1,0
2023/10/3 2:20,1,0
2023/10/3 2:30,1,0
2023/10/3 2:40,1,0
2023/10/3 2:50,1,0
2023/10/3 3:00,1,0
2023/10/3 3:10,1,0
2023/10/3 3:20,1,0
2023/10/3 3:30,1,0
2023/10/3 3:40,1,0
2023/10/3 3:50,1,0
2023/10/3 4:00,1,0
2023/10/3 4:10,1,0
2023/10/3 4:20,1,0
2023/10/3 4:30,1,0
2023/10/3 4:40,1,0
2023/10/3 4:50,1,0
2023/10/3 5:00,0,0
2023/10/3 5:10,0,0
2023/10/3 5:20,0,0
2023/10/3 5:30,0,0
2023/10/3 5:40,0,0
2023/10/3 5:50,0,0
2023/10/3 6:00,48,59
2023/10/3 6:10,48,59
2023/10/3 6:20,48,59
2023/10/3 6:30,48,59
2023/10/3 6:40,48,59
2023/10/3 6:50,48,59
2023/10/3 7:00,164,326
2023/10/3 7:10,164,326
2023/10/3 7:20,164,326
2023/10/3 7:30,164,326
2023/10/3 7:40,164,326
2023/10/3 7:50,164,326
2023/10/3 8:00,274,588
2023/10/3 8:10,274,588
2023/10/3 8:20,274,588
2023/10/3 8:30,274,588
2023/10/3 8:40,274,588
2023/10/3 8:50,274,588
2023/10/3 9:00,173,406
2023/10/3 9:10,173,406
2023/10/3 9:20,173,406
2023/10/3 9:30,173,406
2023/10/3 9:40,173,406
2023/10/3 9:50,173,406
2023/10/3 10:00,135,274
2023/10/3 10:10,135,274
2023/10/3 10:20,135,274
2023/10/3 10:30,135,274
2023/10/3 10:40,135,274
2023/10/3 10:50,135,274
2023/10/3 11:00,122,231
2023/10/3 11:10,122,231
2023/10/3 11:20,122,231
2023/10/3 11:30,122,231
2023/10/3 11:40,122,231
2023/10/3 11:50,122,231
2023/10/3 12:00,187,248
2023/10/3 12:10,187,248
2023/10/3 12:20,187,248
2023/10/3 12:30,187,248
2023/10/3 12:40,187,248
2023/10/3 12:50,187,248
2023/10/3 13:00,206,226
2023/10/3 13:10,206,226
2023/10/3 13:20,206,226
2023/10/3 13:30,206,226
2023/10/3 13:40,206,226
2023/10/3 13:50,206,226
2023/10/3 14:00,186,203
2023/10/3 14:10,186,203
2023/10/3 14:20,186,203
2023/10/3 14:30,186,203
2023/10/3 14:40,186,203
2023/10/3 14:50,186,203
2023/10/3 15:00,221,176
2023/10/3 15:10,221,176
2023/10/3 15:20,221,176
2023/10/3 15:30,221,176
2023/10/3 15:40,221,176
2023/10/3 15:50,221,176
2023/10/3 16:00,295,206
2023/10/3 16:10,295,206
2023/10/3 16:20,295,206
2023/10/3 16:30,295,206
2023/10/3 16:40,295,206
2023/10/3 16:50,295,206
2023/10/3 17:00,534,343
2023/10/3 17:10,534,343
2023/10/3 17:20,534,343
2023/10/3 17:30,534,343
2023/10/3 17:40,534,343
2023/10/3 17:50,534,343
2023/10/3 18:00,686,423
2023/10/3 18:10,686,423
2023/10/3 18:20,686,423
2023/10/3 18:30,686,423
2023/10/3 18:40,686,423
2023/10/3 18:50,686,423
2023/10/3 19:00,408,249
2023/10/3 19:10,408,249
2023/10/3 19:20,408,249
2023/10/3 19:30,408,249
2023/10/3 19:40,408,249
2023/10/3 19:50,408,249
2023/10/3 20:00,280,168
2023/10/3 20:10,280,168
2023/10/3 20:20,280,168
2023/10/3 20:30,280,168
2023/10/3 20:40,280,168
2023/10/3 20:50,280,168
2023/10/3 21:00,318,176
2023/10/3 21:10,318,176
2023/10/3 21:20,318,176
2023/10/3 21:30,318,176
2023/10/3 21:40,318,176
2023/10/3 21:50,318,176
2023/10/3 22:00,295,140
2023/10/3 22:10,295,140
2023/10/3 22:20,295,140
2023/10/3 22:30,295,140
2023/10/3 22:40,295,140
2023/10/3 22:50,295,140
2023/10/3 23:00,96,46
2023/10/3 23:10,96,46
2023/10/3 23:20,96,46
2023/10/3 23:30,96,46
2023/10/3 23:40,96,46
2023/10/3 23:50,96,46
2023/10/4 0:00,40,19
2023/10/4 0:10,40,19
2023/10/4 0:20,40,19
2023/10/4 0:30,40,19
2023/10/4 0:40,40,19
2023/10/4 0:50,40,19
2023/10/4 1:00,2,0
2023/10/4 1:10,2,0
2023/10/4 1:20,2,0
2023/10/4 1:30,2,0
2023/10/4 1:40,2,0
2023/10/4 1:50,2,0
2023/10/4 2:00,2,0
2023/10/4 2:10,2,0
2023/10/4 2:20,2,0
2023/10/4 2:30,2,0
2023/10/4 2:40,2,0
2023/10/4 2:50,2,0
2023/10/4 3:00,2,0
2023/10/4 3:10,2,0
2023/10/4 3:20,2,0
2023/10/4 3:30,2,0
2023/10/4 3:40,2,0
2023/10/4 3:50,2,0
2023/10/4 4:00,2,0
2023/10/4 4:10,2,0
2023/10/4 4:20,2,0
2023/10/4 4:30,2,0
2023/10/4 4:40,2,0
2023/10/4 4:50,2,0
2023/10/4 5:00,0,0
2023/10/4 5:10,0,0
2023/10/4 5:20,0,0
2023/10/4 5:30,0,0
2023/10/4 5:40,0,0
2023/10/4 5:50,0,0
2023/10/4 6:00,47,59
2023/10/4 6:10,47,59
2023/10/4 6:20,47,59
2023/10/4 6:30,47,59
2023/10/4 6:40,47,59
2023/10/4 6:50,47,59
2023/10/4 7:00,166,316
2023/10/4 7:10,166,316
2023/10/4 7:20,166,316
2023/10/4 7:30,166,316
2023/10/4 7:40,166,316
2023/10/4 7:50,166,316
2023/10/4 8:00,304,558
2023/10/4 8:10,304,558
2023/10/4 8:20,304,558
2023/10/4 8:30,304,558
2023/10/4 8:40,304,558
2023/10/4 8:50,304,558
2023/10/4 9:00,180,402
2023/10/4 9:10,180,402
2023/10/4 9:20,180,402
2023/10/4 9:30,180,402
2023/10/4 9:40,180,402
2023/10/4 9:50,180,402
2023/10/4 10:00,114,253
2023/10/4 10:10,114,253
2023/10/4 10:20,114,253
2023/10/4 10:30,114,253
2023/10/4 10:40,114,253
2023/10/4 10:50,114,253
2023/10/4 11:00,120,220
2023/10/4 11:10,120,220
2023/10/4 11:20,120,220
2023/10/4 11:30,120,220
2023/10/4 11:40,120,220
2023/10/4 11:50,120,220
2023/10/4 12:00,201,258
2023/10/4 12:10,201,258
2023/10/4 12:20,201,258
2023/10/4 12:30,201,258
2023/10/4 12:40,201,258
2023/10/4 12:50,201,258
2023/10/4 13:00,202,236
2023/10/4 13:10,202,236
2023/10/4 13:20,202,236
2023/10/4 13:30,202,236
2023/10/4 13:40,202,236
2023/10/4 13:50,202,236
2023/10/4 14:00,177,203
2023/10/4 14:10,177,203
2023/10/4 14:20,177,203
2023/10/4 14:30,177,203
2023/10/4 14:40,177,203
2023/10/4 14:50,177,203
2023/10/4 15:00,237,171
2023/10/4 15:10,237,171
2023/10/4 15:20,237,171
2023/10/4 15:30,237,171
2023/10/4 15:40,237,171
2023/10/4 15:50,237,171
2023/10/4 16:00,295,185
2023/10/4 16:10,295,185
2023/10/4 16:20,295,185
2023/10/4 16:30,295,185
2023/10/4 16:40,295,185
2023/10/4 16:50,295,185
2023/10/4 17:00,513,338
2023/10/4 17:10,513,338
2023/10/4 17:20,513,338
2023/10/4 17:30,513,338
2023/10/4 17:40,513,338
2023/10/4 17:50,513,338
2023/10/4 18:00,634,441
2023/10/4 18:10,634,441
2023/10/4 18:20,634,441
2023/10/4 18:30,634,441
2023/10/4 18:40,634,441
2023/10/4 18:50,634,441
2023/10/4 19:00,400,273
2023/10/4 19:10,400,273
2023/10/4 19:20,400,273
2023/10/4 19:30,400,273
2023/10/4 19:40,400,273
2023/10/4 19:50,400,273
2023/10/4 20:00,278,160
2023/10/4 20:10,278,160
2023/10/4 20:20,278,160
2023/10/4 20:30,278,160
2023/10/4 20:40,278,160
2023/10/4 20:50,278,160
2023/10/4 21:00,321,169
2023/10/4 21:10,321,169
2023/10/4 21:20,321,169
2023/10/4 21:30,321,169
2023/10/4 21:40,321,169
2023/10/4 21:50,321,169
2023/10/4 22:00,300,135
2023/10/4 22:10,300,135
2023/10/4 22:20,300,135
2023/10/4 22:30,300,135
2023/10/4 22:40,300,135
2023/10/4 22:50,300,135
2023/10/4 23:00,101,42
2023/10/4 23:10,101,42
2023/10/4 23:20,101,42
2023/10/4 23:30,101,42
2023/10/4 23:40,101,42
2023/10/4 23:50,101,42
2023/10/5 0:00,48,20
2023/10/5 0:10,48,20
2023/10/5 0:20,48,20
2023/10/5 0:30,48,20
2023/10/5 0:40,48,20
2023/10/5 0:50,48,20
2023/10/5 1:00,0,0
2023/10/5 1:10,0,0
2023/10/5 1:20,0,0
2023/10/5 1:30,0,0
2023/10/5 1:40,0,0
2023/10/5 1:50,0,0
2023/10/5 2:00,0,0
2023/10/5 2:10,0,0
2023/10/5 2:20,0,0
2023/10/5 2:30,0,0
2023/10/5 2:40,0,0
2023/10/5 2:50,0,0
2023/10/5 3:00,0,0
2023/10/5 3:10,0,0
2023/10/5 3:20,0,0
2023/10/5 3:30,0,0
2023/10/5 3:40,0,0
2023/10/5 3:50,0,0
2023/10/5 4:00,0,0
2023/10/5 4:10,0,0
2023/10/5 4:20,0,0
2023/10/5 4:30,0,0
2023/10/5 4:40,0,0
2023/10/5 4:50,0,0
2023/10/5 5:00,0,0
2023/10/5 5:10,0,0
2023/10/5 5:20,0,0
2023/10/5 5:30,0,0
2023/10/5 5:40,0,0
2023/10/5 5:50,0,0
2023/10/5 6:00,40,54
2023/10/5 6:10,40,54
2023/10/5 6:20,40,54
2023/10/5 6:30,40,54
2023/10/5 6:40,40,54
2023/10/5 6:50,40,54
2023/10/5 7:00,158,327
2023/10/5 7:10,158,327
2023/10/5 7:20,158,327
2023/10/5 7:30,158,327
2023/10/5 7:40,158,327
2023/10/5 7:50,158,327
2023/10/5 8:00,273,548
2023/10/5 8:10,273,548
2023/10/5 8:20,273,548
2023/10/5 8:30,273,548
2023/10/5 8:40,273,548
2023/10/5 8:50,273,548
2023/10/5 9:00,177,397
2023/10/5 9:10,177,397
2023/10/5 9:20,177,397
2023/10/5 9:30,177,397
2023/10/5 9:40,177,397
2023/10/5 9:50,177,397
2023/10/5 10:00,117,264
2023/10/5 10:10,117,264
2023/10/5 10:20,117,264
2023/10/5 10:30,117,264
2023/10/5 10:40,117,264
2023/10/5 10:50,117,264
2023/10/5 11:00,115,218
2023/10/5 11:10,115,218
2023/10/5 11:20,115,218
2023/10/5 11:30,115,218
2023/10/5 11:40,115,218
2023/10/5 11:50,115,218
2023/10/5 12:00,185,264
2023/10/5 12:10,185,264
2023/10/5 12:20,185,264
2023/10/5 12:30,185,264
2023/10/5 12:40,185,264
2023/10/5 12:50,185,264
2023/10/5 13:00,214,231
2023/10/5 13:10,214,231
2023/10/5 13:20,214,231
2023/10/5 13:30,214,231
2023/10/5 13:40,214,231
2023/10/5 13:50,214,231
2023/10/5 14:00,174,195
2023/10/5 14:10,174,195
2023/10/5 14:20,174,195
2023/10/5 14:30,174,195
2023/10/5 14:40,174,195
2023/10/5 14:50,174,195
2023/10/5 15:00,233,172
2023/10/5 15:10,233,172
2023/10/5 15:20,233,172
2023/10/5 15:30,233,172
2023/10/5 15:40,233,172
2023/10/5 15:50,233,172
2023/10/5 16:00,292,194
2023/10/5 16:10,292,194
2023/10/5 16:20,292,194
2023/10/5 16:30,292,194
2023/10/5 16:40,292,194
2023/10/5 16:50,292,194
2023/10/5 17:00,547,348
2023/10/5 17:10,547,348
2023/10/5 17:20,547,348
2023/10/5 17:30,547,348
2023/10/5 17:40,547,348
2023/10/5 17:50,547,348
2023/10/5 18:00,718,438
2023/10/5 18:10,718,438
2023/10/5 18:20,718,438
2023/10/5 18:30,718,438
2023/10/5 18:40,718,438
2023/10/5 18:50,718,438
2023/10/5 19:00,456,258
2023/10/5 19:10,456,258
2023/10/5 19:20,456,258
2023/10/5 19:30,456,258
2023/10/5 19:40,456,258
2023/10/5 19:50,456,258
2023/10/5 20:00,295,154
2023/10/5 20:10,295,154
2023/10/5 20:20,295,154
2023/10/5 20:30,295,154
2023/10/5 20:40,295,154
2023/10/5 20:50,295,154
2023/10/5 21:00,318,166
2023/10/5 21:10,318,166
2023/10/5 21:20,318,166
2023/10/5 21:30,318,166
2023/10/5 21:40,318,166
2023/10/5 21:50,318,166
2023/10/5 22:00,287,143
2023/10/5 22:10,287,143
2023/10/5 22:20,287,143
2023/10/5 22:30,287,143
2023/10/5 22:40,287,143
2023/10/5 22:50,287,143
2023/10/5 23:00,98,57
2023/10/5 23:10,98,57
2023/10/5 23:20,98,57
2023/10/5 23:30,98,57
2023/10/5 23:40,98,57
2023/10/5 23:50,98,57
2023/10/6 0:00,67,44
2023/10/6 0:10,67,44
2023/10/6 0:20,67,44
2023/10/6 0:30,67,44
2023/10/6 0:40,67,44
2023/10/6 0:50,67,44
2023/10/6 1:00,1,0
2023/10/6 1:10,1,0
2023/10/6 1:20,1,0
2023/10/6 1:30,1,0
2023/10/6 1:40,1,0
2023/10/6 1:50,1,0
2023/10/6 2:00,1,0
2023/10/6 2:10,1,0
2023/10/6 2:20,1,0
2023/10/6 2:30,1,0
2023/10/6 2:40,1,0
2023/10/6 2:50,1,0
2023/10/6 3:00,1,0
2023/10/6 3:10,1,0
2023/10/6 3:20,1,0
2023/10/6 3:30,1,0
2023/10/6 3:40,1,0
2023/10/6 3:50,1,0
2023/10/6 4:00,1,0
2023/10/6 4:10,1,0
2023/10/6 4:20,1,0
2023/10/6 4:30,1,0
2023/10/6 4:40,1,0
2023/10/6 4:50,1,0
2023/10/6 5:00,0,0
2023/10/6 5:10,0,0
2023/10/6 5:20,0,0
2023/10/6 5:30,0,0
2023/10/6 5:40,0,0
2023/10/6 5:50,0,0
2023/10/6 6:00,51,61
2023/10/6 6:10,51,61
2023/10/6 6:20,51,61
2023/10/6 6:30,51,61
2023/10/6 6:40,51,61
2023/10/6 6:50,51,61
2023/10/6 7:00,168,303
2023/10/6 7:10,168,303
2023/10/6 7:20,168,303
2023/10/6 7:30,168,303
2023/10/6 7:40,168,303
2023/10/6 7:50,168,303
2023/10/6 8:00,278,542
2023/10/6 8:10,278,542
2023/10/6 8:20,278,542
2023/10/6 8:30,278,542
2023/10/6 8:40,278,542
2023/10/6 8:50,278,542
2023/10/6 9:00,192,369
2023/10/6 9:10,192,369
2023/10/6 9:20,192,369
2023/10/6 9:30,192,369
2023/10/6 9:40,192,369
2023/10/6 9:50,192,369
2023/10/6 10:00,139,270
2023/10/6 10:10,139,270
2023/10/6 10:20,139,270
2023/10/6 10:30,139,270
2023/10/6 10:40,139,270
2023/10/6 10:50,139,270
2023/10/6 11:00,160,235
2023/10/6 11:10,160,235
2023/10/6 11:20,160,235
2023/10/6 11:30,160,235
2023/10/6 11:40,160,235
2023/10/6 11:50,160,235
2023/10/6 12:00,272,277
2023/10/6 12:10,272,277
2023/10/6 12:20,272,277
2023/10/6 12:30,272,277
2023/10/6 12:40,272,277
2023/10/6 12:50,272,277
2023/10/6 13:00,325,267
2023/10/6 13:10,325,267
2023/10/6 13:20,325,267
2023/10/6 13:30,325,267
2023/10/6 13:40,325,267
2023/10/6 13:50,325,267
2023/10/6 14:00,288,233
2023/10/6 14:10,288,233
2023/10/6 14:20,288,233
2023/10/6 14:30,288,233
2023/10/6 14:40,288,233
2023/10/6 14:50,288,233
2023/10/6 15:00,308,208
2023/10/6 15:10,308,208
2023/10/6 15:20,308,208
2023/10/6 15:30,308,208
2023/10/6 15:40,308,208
2023/10/6 15:50,308,208
2023/10/6 16:00,433,242
2023/10/6 16:10,433,242
2023/10/6 16:20,433,242
2023/10/6 16:30,433,242
2023/10/6 16:40,433,242
2023/10/6 16:50,433,242
2023/10/6 17:00,678,394
2023/10/6 17:10,678,394
2023/10/6 17:20,678,394
2023/10/6 17:30,678,394
2023/10/6 17:40,678,394
2023/10/6 17:50,678,394
2023/10/6 18:00,705,462
2023/10/6 18:10,705,462
2023/10/6 18:20,705,462
2023/10/6 18:30,705,462
2023/10/6 18:40,705,462
2023/10/6 18:50,705,462
2023/10/6 19:00,472,334
2023/10/6 19:10,472,334
2023/10/6 19:20,472,334
2023/10/6 19:30,472,334
2023/10/6 19:40,472,334
2023/10/6 19:50,472,334
2023/10/6 20:00,345,194
2023/10/6 20:10,345,194
2023/10/6 20:20,345,194
2023/10/6 20:30,345,194
2023/10/6 20:40,345,194
2023/10/6 20:50,345,194
2023/10/6 21:00,356,199
2023/10/6 21:10,356,199
2023/10/6 21:20,356,199
2023/10/6 21:30,356,199
2023/10/6 21:40,356,199
2023/10/6 21:50,356,199
2023/10/6 22:00,338,185
2023/10/6 22:10,338,185
2023/10/6 22:20,338,185
2023/10/6 22:30,338,185
2023/10/6 22:40,338,185
2023/10/6 22:50,338,185
2023/10/6 23:00,146,84
2023/10/6 23:10,146,84
2023/10/6 23:20,146,84
2023/10/6 23:30,146,84
2023/10/6 23:40,146,84
2023/10/6 23:50,146,84
2023/10/7 0:00,48,49
2023/10/7 0:10,48,49
2023/10/7 0:20,48,49
2023/10/7 0:30,48,49
2023/10/7 0:40,48,49
2023/10/7 0:50,48,49
2023/10/7 1:00,1,0
2023/10/7 1:10,1,0
2023/10/7 1:20,1,0
2023/10/7 1:30,1,0
2023/10/7 1:40,1,0
2023/10/7 1:50,1,0
2023/10/7 2:00,0,0
2023/10/7 2:10,0,0
2023/10/7 2:20,0,0
2023/10/7 2:30,0,0
2023/10/7 2:40,0,0
2023/10/7 2:50,0,0
2023/10/7 3:00,0,0
2023/10/7 3:10,0,0
2023/10/7 3:20,0,0
2023/10/7 3:30,0,0
2023/10/7 3:40,0,0
2023/10/7 3:50,0,0
2023/10/7 4:00,0,0
2023/10/7 4:10,0,0
2023/10/7 4:20,0,0
2023/10/7 4:30,0,0
2023/10/7 4:40,0,0
2023/10/7 4:50,0,0
2023/10/7 5:00,0,0
2023/10/7 5:10,0,0
2023/10/7 5:20,0,0
2023/10/7 5:30,0,0
2023/10/7 5:40,0,0
2023/10/7 5:50,0,0
2023/10/7 6:00,48,36
2023/10/7 6:10,48,36
2023/10/7 6:20,48,36
2023/10/7 6:30,48,36
2023/10/7 6:40,48,36
2023/10/7 6:50,48,36
2023/10/7 7:00,69,60
2023/10/7 7:10,69,60
2023/10/7 7:20,69,60
2023/10/7 7:30,69,60
2023/10/7 7:40,69,60
2023/10/7 7:50,69,60
2023/10/7 8:00,118,129
2023/10/7 8:10,118,129
2023/10/7 8:20,118,129
2023/10/7 8:30,118,129
2023/10/7 8:40,118,129
2023/10/7 8:50,118,129
2023/10/7 9:00,142,156
2023/10/7 9:10,142,156
2023/10/7 9:20,142,156
2023/10/7 9:30,142,156
2023/10/7 9:40,142,156
2023/10/7 9:50,142,156
2023/10/7 10:00,165,161
2023/10/7 10:10,165,161
2023/10/7 10:20,165,161
2023/10/7 10:30,165,161
2023/10/7 10:40,165,161
2023/10/7 10:50,165,161
