觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),日照時數(h),全天空日射量(MJ/㎡),能見度(km),紫外線指數,總雲量(0~10),date
18,1013.4,1016.9,25.6,20.4,73,4.1,90,11.7,90,0.0,0.0,0.0,0.01,--,0,--,2023-11-01
19,1013.8,1017.3,25.3,20.6,75,3.4,100,8.5,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-01
20,1014.2,1017.7,25.2,20.5,75,3.8,110,9.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-01
21,1014.0,1017.5,25.0,20.1,74,2.2,100,9.1,90,0.0,0.0,--,0.00,--,0,--,2023-11-01
22,1013.6,1017.1,24.5,20.0,76,2.8,100,8.2,80,0.0,0.0,--,0.00,--,0,--,2023-11-01
23,1013.0,1016.5,24.4,20.1,77,3.6,90,8.1,90,0.0,0.0,--,0.00,--,0,--,2023-11-01
24,1012.7,1016.2,24.1,20.6,81,3.6,90,8.4,90,0.0,0.0,--,0.00,--,0,--,2023-11-01
01,1012.5,1016.0,24.1,20.6,81,2.9,90,7.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-02
02,1011.8,1015.3,24.4,20.5,79,2.7,100,7.9,100,0.0,0.0,--,0.00,--,0,--,2023-11-02
03,1011.4,1014.9,24.2,20.5,80,1.5,90,5.7,90,0.0,0.0,--,0.00,--,0,--,2023-11-02
04,1011.5,1015.0,24.0,20.5,81,2.0,100,5.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-02
05,1011.6,1015.1,23.8,20.6,82,1.4,120,3.7,120,0.0,0.0,--,0.00,--,0,--,2023-11-02
06,1011.9,1015.4,23.9,20.6,82,1.9,120,4.0,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-02
07,1012.5,1016.0,24.0,20.7,82,1.1,150,3.8,130,0.0,0.0,0.0,0.10,--,0,--,2023-11-02
08,1012.8,1016.3,25.5,21.2,77,1.2,130,2.6,130,0.0,0.0,0.6,0.70,70.0,1,2.0,2023-11-02
09,1012.9,1016.4,27.5,21.3,69,1.9,120,4.7,120,0.0,0.0,1.0,1.63,60.0,3,1.0,2023-11-02
10,1012.5,1016.0,29.2,20.4,59,2.4,130,6.2,100,0.0,0.0,1.0,2.24,--,5,--,2023-11-02
11,1011.4,1014.9,29.9,19.6,54,1.9,100,5.8,90,0.0,0.0,1.0,2.67,60.0,7,2.0,2023-11-02
12,1010.7,1014.2,30.6,19.3,51,0.7,180,4.2,110,0.0,0.0,1.0,2.86,--,8,--,2023-11-02
13,1010.1,1013.5,31.2,19.6,50,1.4,150,4.9,170,0.0,0.0,1.0,2.88,--,7,--,2023-11-02
14,1009.5,1012.9,30.5,19.6,52,1.5,140,4.4,160,0.0,0.0,0.9,2.26,60.0,5,4.0,2023-11-02
15,1009.5,1013.0,29.9,21.0,59,2.8,320,5.5,360,0.0,0.0,0.7,1.43,--,2,--,2023-11-02
16,1010.0,1013.5,28.4,21.2,65,3.4,320,7.4,340,0.0,0.0,0.7,0.89,--,1,--,2023-11-02
17,1010.4,1013.9,27.9,21.2,67,0.6,30,6.0,310,0.0,0.0,0.0,0.20,25.0,0,7.0,2023-11-02
18,1010.9,1014.4,27.2,20.3,66,2.3,140,4.3,140,0.0,0.0,0.0,0.00,--,0,--,2023-11-02
19,1011.1,1014.6,26.7,20.6,69,2.2,120,4.0,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-02
20,1011.5,1015.0,26.1,20.7,72,0.8,140,3.4,120,0.0,0.0,--,0.00,--,0,--,2023-11-02
21,1011.5,1015.0,26.3,20.4,70,0.9,120,2.6,120,0.0,0.0,--,0.00,--,0,--,2023-11-02
22,1011.5,1015.0,25.9,20.7,73,0.7,160,2.3,110,0.0,0.0,--,0.00,--,0,--,2023-11-02
23,1011.2,1014.7,25.3,20.6,75,1.9,170,2.8,170,0.0,0.0,--,0.00,--,0,--,2023-11-02
24,1010.7,1014.2,24.7,20.4,77,1.1,190,2.8,180,0.0,0.0,--,0.00,--,0,--,2023-11-02
01,1010.4,1013.9,24.5,20.4,78,0.8,180,2.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-03
02,1010.2,1013.7,23.8,20.6,82,0.9,210,1.7,140,0.0,0.0,--,0.00,--,0,--,2023-11-03
03,1010.4,1013.9,23.4,20.2,82,1.3,160,2.5,170,0.0,0.0,--,0.00,--,0,--,2023-11-03
04,1010.3,1013.8,23.0,19.6,81,1.5,170,2.7,170,0.0,0.0,--,0.00,--,0,--,2023-11-03
05,1010.2,1013.7,22.8,19.4,81,1.6,170,3.2,160,0.0,0.0,--,0.00,--,0,--,2023-11-03
06,1010.7,1014.2,22.5,18.9,80,1.5,170,3.6,200,0.0,0.0,0.0,0.00,--,0,--,2023-11-03
07,1011.3,1014.8,22.6,19.0,80,1.5,160,4.2,180,0.0,0.0,0.6,0.21,--,0,--,2023-11-03
08,1011.7,1015.2,24.0,19.5,76,0.9,130,2.6,190,0.0,0.0,1.0,0.85,25.0,1,3.0,2023-11-03
09,1011.9,1015.4,25.6,20.2,72,0.6,210,2.7,180,0.0,0.0,1.0,1.57,15.0,2,2.0,2023-11-03
10,1011.5,1015.0,27.3,20.2,65,0.7,150,2.4,180,0.0,0.0,1.0,2.19,--,4,--,2023-11-03
11,1010.7,1014.2,29.1,19.7,57,0.8,190,2.6,220,0.0,0.0,1.0,2.61,25.0,6,5.0,2023-11-03
12,1009.8,1013.3,29.6,18.7,52,0.8,220,3.0,350,0.0,0.0,1.0,2.72,--,6,--,2023-11-03
13,1008.8,1012.2,30.7,20.9,56,2.5,310,5.6,350,0.0,0.0,1.0,2.61,--,6,--,2023-11-03
14,1008.7,1012.2,29.5,21.5,62,1.7,350,6.1,340,0.0,0.0,0.5,1.49,30.0,3,7.0,2023-11-03
15,1008.7,1012.2,28.8,21.8,66,1.7,40,4.2,50,0.0,0.0,0.4,1.06,--,2,--,2023-11-03
16,1008.9,1012.4,28.0,21.8,69,1.8,70,4.8,340,0.0,0.0,0.1,0.52,--,1,--,2023-11-03
17,1009.2,1012.7,27.4,20.5,66,2.1,90,5.4,70,0.0,0.0,0.4,0.20,40.0,0,5.0,2023-11-03
18,1009.8,1013.3,27.1,20.0,65,1.9,120,5.4,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-03
19,1009.8,1013.3,26.7,20.3,68,1.7,100,5.9,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-03
20,1010.3,1013.8,26.3,19.7,67,2.1,90,5.7,80,0.0,0.0,--,0.00,--,0,--,2023-11-03
21,1010.6,1014.1,26.2,19.6,67,2.0,100,5.4,70,0.0,0.0,--,0.00,--,0,--,2023-11-03
22,1010.7,1014.2,26.1,20.0,69,1.8,100,5.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-03
23,1010.6,1014.1,25.7,20.1,71,1.4,90,4.8,70,0.0,0.0,--,0.00,--,0,--,2023-11-03
24,1010.2,1013.7,25.4,20.2,73,1.4,90,3.8,50,0.0,0.0,--,0.00,--,0,--,2023-11-03
01,1010.2,1013.7,24.9,20.4,76,0.9,90,4.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-04
02,1010.0,1013.5,24.6,19.7,74,1.1,140,2.7,150,0.0,0.0,--,0.00,--,0,--,2023-11-04
03,1009.9,1013.4,24.2,18.6,71,1.7,170,3.1,160,0.0,0.0,--,0.00,--,0,--,2023-11-04
04,1010.0,1013.5,23.9,18.3,71,1.8,170,2.8,170,0.0,0.0,--,0.00,--,0,--,2023-11-04
05,1010.3,1013.8,23.3,18.2,73,1.1,180,2.7,150,0.0,0.0,--,0.00,--,0,--,2023-11-04
06,1010.9,1014.4,22.9,18.5,76,0.7,180,2.8,160,0.0,0.0,0.0,0.00,--,0,--,2023-11-04
07,1011.5,1015.0,23.1,19.3,79,0.7,200,1.9,210,0.0,0.0,0.7,0.19,--,0,--,2023-11-04
08,1012.0,1015.5,24.6,18.6,69,1.9,170,3.0,170,0.0,0.0,1.0,0.87,70.0,1,1.0,2023-11-04
09,1012.0,1015.5,26.7,19.1,63,0.7,120,2.1,90,0.0,0.0,1.0,1.61,70.0,3,1.0,2023-11-04
10,1011.7,1015.2,28.6,19.8,59,0.6,130,3.1,120,0.0,0.0,1.0,2.22,--,5,--,2023-11-04
11,1010.9,1014.4,30.1,18.9,51,0.6,180,2.7,320,0.0,0.0,1.0,2.63,70.0,7,1.0,2023-11-04
12,1010.0,1013.4,30.9,18.3,47,1.7,260,4.2,320,0.0,0.0,1.0,2.81,--,8,--,2023-11-04
13,1009.3,1012.7,31.8,20.4,51,3.8,320,6.5,330,0.0,0.0,1.0,2.71,--,7,--,2023-11-04
14,1009.0,1012.4,31.2,21.1,55,2.7,320,6.2,320,0.0,0.0,1.0,2.34,70.0,5,3.0,2023-11-04
15,1008.9,1012.3,30.4,20.7,56,1.9,330,5.0,340,0.0,0.0,1.0,1.75,--,3,--,2023-11-04
16,1009.3,1012.8,29.3,20.5,59,2.1,320,4.4,340,0.0,0.0,1.0,0.99,--,1,--,2023-11-04
17,1009.8,1013.3,29.0,20.5,60,1.5,330,3.7,310,0.0,0.0,0.7,0.28,30.0,0,3.0,2023-11-04
18,1010.4,1013.9,28.2,20.8,64,1.7,150,4.0,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-04
19,1010.8,1014.3,27.2,20.8,68,2.5,130,4.4,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-04
20,1011.3,1014.8,26.6,20.9,71,1.7,140,3.8,130,0.0,0.0,--,0.00,--,0,--,2023-11-04
21,1011.6,1015.1,26.5,20.6,70,1.4,120,3.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-04
22,1011.5,1015.0,26.2,20.8,72,1.6,140,2.8,140,0.0,0.0,--,0.00,--,0,--,2023-11-04
23,1011.2,1014.7,25.5,20.8,75,0.9,210,2.1,210,0.0,0.0,--,0.00,--,0,--,2023-11-04
24,1010.9,1014.4,25.4,20.9,76,1.0,150,2.1,150,0.0,0.0,--,0.00,--,0,--,2023-11-04
01,1010.9,1014.4,25.2,21.1,78,1.4,180,2.7,180,0.0,0.0,--,0.00,--,0,--,2023-11-05
02,1010.4,1013.9,24.7,21.0,80,0.7,190,2.2,180,0.0,0.0,--,0.00,--,0,--,2023-11-05
03,1010.3,1013.8,24.7,20.4,77,1.2,180,2.4,180,0.0,0.0,--,0.00,--,0,--,2023-11-05
04,1010.4,1013.9,24.3,20.4,79,1.3,190,2.7,210,0.0,0.0,--,0.00,--,0,--,2023-11-05
05,1010.7,1014.2,23.9,19.6,77,1.5,160,2.9,140,0.0,0.0,--,0.00,--,0,--,2023-11-05
06,1011.2,1014.7,23.6,19.8,79,1.9,170,3.2,170,0.0,0.0,0.0,0.00,--,0,--,2023-11-05
07,1011.6,1015.1,23.8,19.7,78,0.7,190,3.3,170,0.0,0.0,0.6,0.18,--,0,--,2023-11-05
08,1011.9,1015.4,25.9,19.3,67,1.5,190,2.8,160,0.0,0.0,1.0,0.85,70.0,1,1.0,2023-11-05
09,1011.9,1015.4,26.8,20.7,69,1.2,240,3.4,240,0.0,0.0,1.0,1.57,60.0,2,1.0,2023-11-05
10,1011.5,1015.0,28.6,20.4,61,1.0,290,3.2,240,0.0,0.0,1.0,2.18,--,5,--,2023-11-05
11,1011.0,1014.5,29.9,19.3,53,1.2,320,4.7,310,0.0,0.0,1.0,2.57,50.0,6,1.0,2023-11-05
12,1010.3,1013.8,30.2,18.3,49,1.6,290,4.5,310,0.0,0.0,1.0,2.72,--,7,--,2023-11-05
13,1009.6,1013.0,31.4,22.2,58,2.4,340,4.8,330,0.0,0.0,1.0,2.66,--,7,--,2023-11-05
14,1009.2,1012.6,30.7,22.3,61,2.0,330,6.7,340,0.0,0.0,0.9,1.99,40.0,4,3.0,2023-11-05
15,1009.0,1012.4,30.5,22.7,63,1.3,330,5.5,330,0.0,0.0,1.0,1.65,--,3,--,2023-11-05
16,1009.4,1012.9,29.6,22.6,66,2.3,330,4.6,360,0.0,0.0,0.9,0.82,--,1,--,2023-11-05
17,1009.8,1013.3,28.5,22.5,70,1.9,340,4.3,300,0.0,0.0,0.9,0.28,40.0,0,2.0,2023-11-05
18,1010.2,1013.7,27.9,21.7,69,2.1,350,3.6,320,0.0,0.0,0.0,0.00,--,0,--,2023-11-05
19,1010.9,1014.4,27.4,20.3,65,1.1,320,3.4,320,0.0,0.0,0.0,0.00,--,0,--,2023-11-05
20,1011.5,1015.0,26.9,21.0,70,1.1,220,2.6,340,0.0,0.0,--,0.00,--,0,--,2023-11-05
21,1011.9,1015.4,26.4,22.9,81,0.7,160,3.3,140,0.0,0.0,--,0.00,--,0,--,2023-11-05
22,1011.8,1015.3,25.8,22.3,81,1.4,160,3.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-05
23,1011.6,1015.1,25.2,21.7,81,1.4,160,4.0,170,0.0,0.0,--,0.00,--,0,--,2023-11-05
24,1011.3,1014.8,24.9,20.8,78,2.0,180,4.4,180,0.0,0.0,--,0.00,--,0,--,2023-11-05
01,1011.1,1014.6,24.7,20.2,76,1.6,160,4.5,170,0.0,0.0,--,0.00,--,0,--,2023-11-06
02,1011.1,1014.6,24.4,20.3,78,1.5,170,4.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-06
03,1010.8,1014.3,24.0,20.3,80,1.2,170,4.3,170,0.0,0.0,--,0.00,--,0,--,2023-11-06
04,1010.5,1014.0,23.7,20.5,82,1.7,180,4.5,160,0.0,0.0,--,0.00,--,0,--,2023-11-06
05,1011.0,1014.5,23.5,19.9,80,1.2,170,3.5,150,0.0,0.0,--,0.00,--,0,--,2023-11-06
06,1011.4,1014.9,23.3,20.3,83,0.9,200,3.1,180,0.0,0.0,0.0,0.00,--,0,--,2023-11-06
07,1012.4,1015.9,23.7,20.3,81,1.3,170,2.8,170,0.0,0.0,0.6,0.17,--,0,--,2023-11-06
08,1013.0,1016.5,25.6,20.4,73,0.9,200,3.4,140,0.0,0.0,1.0,0.85,50.0,1,4.0,2023-11-06
09,1013.4,1016.9,27.6,19.4,61,0.7,190,3.4,150,0.0,0.0,1.0,1.55,50.0,2,3.0,2023-11-06
10,1012.8,1016.3,30.1,19.2,52,2.3,220,4.9,220,0.0,0.0,1.0,2.12,--,5,--,2023-11-06
11,1011.9,1015.3,31.2,20.5,53,1.7,220,4.8,220,0.0,0.0,1.0,2.56,45.0,6,3.0,2023-11-06
12,1011.2,1014.6,31.7,19.0,47,2.4,280,5.7,260,0.0,0.0,0.9,2.49,--,7,--,2023-11-06
13,1010.5,1013.9,31.0,19.7,51,2.7,330,7.3,340,0.0,0.0,0.6,1.86,--,5,--,2023-11-06
14,1010.6,1014.1,29.8,21.2,60,3.5,320,11.1,360,0.0,0.0,0.3,0.90,30.0,3,4.0,2023-11-06
15,1010.9,1014.4,29.7,22.2,64,2.2,300,8.4,320,0.0,0.0,1.0,1.71,--,3,--,2023-11-06
16,1011.5,1015.0,28.0,21.3,67,2.8,100,6.9,100,0.0,0.0,0.2,0.54,--,1,--,2023-11-06
17,1012.3,1015.8,26.4,22.5,79,2.6,80,8.8,100,0.0,0.0,0.0,0.06,15.0,0,7.0,2023-11-06
18,1013.0,1016.5,25.1,22.2,84,3.7,90,11.9,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-06
19,1014.2,1017.7,24.7,21.4,82,3.5,90,12.2,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-06
20,1015.0,1018.5,24.0,21.1,84,4.7,90,10.5,80,0.0,0.0,--,0.00,--,0,--,2023-11-06
21,1015.8,1019.4,23.4,20.2,82,3.1,90,11.2,80,0.0,0.0,--,0.00,--,0,--,2023-11-06
22,1016.1,1019.7,22.7,19.7,83,3.2,80,9.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-06
23,1016.4,1020.0,22.5,19.1,81,3.3,90,11.5,50,0.0,0.0,--,0.00,--,0,--,2023-11-06
24,1016.4,1020.0,21.9,18.9,83,3.7,90,10.7,40,0.0,0.0,--,0.00,--,0,--,2023-11-06
01,1016.2,1019.8,22.1,18.1,78,2.6,100,9.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-07
02,1015.8,1019.4,22.4,17.6,74,4.0,90,10.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-07
03,1015.6,1019.2,22.7,17.0,70,2.5,90,10.0,60,0.0,0.0,--,0.00,--,0,--,2023-11-07
04,1015.7,1019.3,22.7,17.0,70,3.0,100,9.0,100,0.0,0.0,--,0.00,--,0,--,2023-11-07
05,1016.2,1019.8,22.6,16.9,70,3.5,90,10.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-07
06,1016.8,1020.4,22.4,15.0,63,3.1,90,10.7,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-07
07,1017.6,1021.2,22.3,14.2,60,3.4,90,11.2,100,0.0,0.0,0.0,0.08,--,0,--,2023-11-07
08,1018.4,1022.0,22.7,13.8,57,4.3,90,11.1,100,0.0,0.0,0.0,0.47,30.0,1,6.0,2023-11-07
09,1018.5,1022.1,23.6,13.5,53,4.2,90,13.0,100,0.0,0.0,0.9,1.46,35.0,2,3.0,2023-11-07
10,1017.9,1021.5,24.1,13.7,52,4.8,80,13.3,80,0.0,0.0,1.0,2.19,--,5,--,2023-11-07
11,1017.3,1020.8,24.4,13.9,52,5.0,110,13.2,90,0.0,0.0,0.8,2.35,40.0,6,6.0,2023-11-07
12,1016.5,1020.1,23.9,14.3,55,3.6,80,11.8,80,0.0,0.0,0.3,1.73,--,5,--,2023-11-07
13,1015.6,1019.1,24.0,14.1,54,5.9,100,12.8,80,0.0,0.0,0.5,2.05,--,6,--,2023-11-07
14,1015.2,1018.7,24.2,14.9,56,4.2,90,12.6,70,0.0,0.0,1.0,2.12,45.0,5,4.0,2023-11-07
15,1015.3,1018.8,23.9,15.2,58,4.1,90,12.9,80,0.0,0.0,1.0,1.71,--,3,--,2023-11-07
16,1015.8,1019.4,23.2,16.0,64,4.0,90,12.1,80,0.0,0.0,0.2,0.67,--,1,--,2023-11-07
17,1015.9,1019.5,23.2,16.8,67,4.6,100,12.1,80,0.0,0.0,0.0,0.20,40.0,0,8.0,2023-11-07
18,1016.3,1019.9,23.3,16.4,65,3.8,100,10.2,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-07
19,1016.4,1020.0,23.3,16.1,64,3.2,100,9.2,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-07
20,1016.6,1020.2,23.2,15.8,63,4.2,100,9.9,110,0.0,0.0,--,0.00,--,0,--,2023-11-07
21,1016.2,1019.8,23.1,15.9,64,4.4,110,10.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-07
22,1015.5,1019.1,23.1,16.2,65,3.8,100,9.6,110,0.0,0.0,--,0.00,--,0,--,2023-11-07
23,1014.8,1018.4,23.0,16.1,65,4.3,80,11.7,100,0.0,0.0,--,0.00,--,0,--,2023-11-07
24,1014.5,1018.1,23.1,16.2,65,4.0,90,12.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-07
01,1014.0,1017.6,23.1,16.7,67,4.4,90,10.8,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
02,1012.9,1016.4,23.0,17.0,69,4.0,90,10.2,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
03,1012.8,1016.3,23.1,16.9,68,4.0,90,10.5,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
04,1012.5,1016.0,23.1,17.1,69,3.4,90,9.7,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
05,1012.4,1015.9,23.0,17.5,71,2.7,90,7.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-08
06,1012.6,1016.1,23.0,17.7,72,2.4,90,6.7,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-08
07,1013.1,1016.6,23.2,17.9,72,2.4,90,6.7,80,0.0,0.0,0.3,0.10,--,0,--,2023-11-08
08,1013.8,1017.3,25.0,18.0,65,2.7,90,6.3,90,0.0,0.0,1.0,0.61,50.0,1,8.0,2023-11-08
09,1014.0,1017.5,26.5,18.4,61,2.3,100,6.5,100,0.0,0.0,0.8,1.48,40.0,2,5.0,2023-11-08
10,1013.9,1017.4,27.8,18.2,56,4.1,100,7.9,100,0.0,0.0,1.0,2.11,--,4,--,2023-11-08
11,1013.1,1016.6,28.5,18.3,54,2.8,100,7.8,90,0.0,0.0,1.0,2.53,50.0,6,5.0,2023-11-08
12,1012.6,1016.1,28.9,18.7,54,3.0,120,7.4,120,0.0,0.0,1.0,2.68,--,7,--,2023-11-08
13,1011.7,1015.2,29.6,18.7,52,3.2,130,6.7,110,0.0,0.0,1.0,2.59,--,7,--,2023-11-08
14,1011.3,1014.8,28.8,18.3,53,2.5,120,6.7,150,0.0,0.0,0.9,2.07,50.0,5,6.0,2023-11-08
15,1011.2,1014.7,28.8,18.6,54,3.1,110,6.2,110,0.0,0.0,0.3,1.16,--,2,--,2023-11-08
16,1011.4,1014.9,28.2,18.3,55,3.0,140,6.0,110,0.0,0.0,0.9,1.01,--,1,--,2023-11-08
17,1011.7,1015.2,27.1,18.4,59,2.3,120,6.6,100,0.0,0.0,0.6,0.24,40.0,0,7.0,2023-11-08
18,1012.2,1015.7,26.1,19.3,66,4.0,110,6.4,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-08
19,1012.9,1016.4,25.9,19.3,67,2.2,100,7.1,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-08
20,1013.6,1017.1,25.4,19.3,69,3.1,90,7.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-08
21,1013.7,1017.2,25.3,19.2,69,2.1,100,5.9,70,0.0,0.0,--,0.00,--,0,--,2023-11-08
22,1014.0,1017.5,25.0,19.4,71,2.7,90,6.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
23,1013.7,1017.2,24.9,19.3,71,2.2,90,6.5,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
24,1013.4,1016.9,24.8,19.4,72,1.8,90,6.2,80,0.0,0.0,--,0.00,--,0,--,2023-11-08
01,1012.7,1016.2,24.9,19.7,73,1.8,80,5.7,80,0.0,0.0,--,0.00,--,0,--,2023-11-09
02,1012.1,1015.6,24.7,19.8,74,1.1,100,4.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-09
03,1011.9,1015.4,24.3,19.6,75,1.0,110,3.2,80,0.0,0.0,--,0.00,--,0,--,2023-11-09
04,1012.0,1015.5,24.1,19.8,77,0.7,200,1.6,200,0.0,0.0,--,0.00,--,0,--,2023-11-09
05,1011.9,1015.4,23.5,19.9,80,0.7,150,1.7,130,0.0,0.0,--,0.00,--,0,--,2023-11-09
06,1012.4,1015.9,23.1,19.7,81,0.4,160,2.0,160,0.0,0.0,0.0,0.00,--,0,--,2023-11-09
07,1012.6,1016.1,23.8,20.0,79,0.9,170,1.7,100,0.0,0.0,0.5,0.15,--,0,--,2023-11-09
08,1012.8,1016.3,25.6,20.0,71,1.3,120,2.8,110,0.0,0.0,1.0,0.79,70.0,1,2.0,2023-11-09
09,1012.8,1016.3,28.0,21.3,67,2.2,110,4.6,110,0.0,0.0,1.0,1.51,70.0,2,2.0,2023-11-09
10,1012.6,1016.1,28.9,20.6,61,3.3,130,8.1,110,0.0,0.0,1.0,2.12,--,4,--,2023-11-09
11,1011.9,1015.4,29.7,20.0,56,3.7,110,8.4,90,0.0,0.0,0.9,2.32,60.0,6,7.0,2023-11-09
12,1011.1,1014.6,29.4,20.0,57,2.5,110,8.2,90,0.0,0.0,0.9,2.08,--,6,--,2023-11-09
13,1010.1,1013.6,30.2,19.9,54,1.9,120,5.9,70,0.0,0.0,0.9,2.31,--,6,--,2023-11-09
14,1009.5,1012.9,31.1,20.1,52,0.8,130,4.6,120,0.0,0.0,1.0,2.18,50.0,5,5.0,2023-11-09
15,1009.4,1012.8,31.3,20.9,54,0.8,320,4.1,300,0.0,0.0,0.7,1.37,--,2,--,2023-11-09
16,1009.9,1013.4,29.1,22.1,66,1.1,320,5.6,320,0.0,0.0,0.6,0.66,--,1,--,2023-11-09
17,1010.7,1014.2,28.0,22.3,71,1.5,320,5.2,330,0.0,0.0,0.0,0.20,15.0,0,7.0,2023-11-09
18,1011.5,1015.0,27.6,22.3,73,1.4,320,4.2,320,0.0,0.0,0.0,0.00,--,0,--,2023-11-09
19,1012.2,1015.7,27.2,22.2,74,0.6,340,4.0,340,0.0,0.0,0.0,0.00,--,0,--,2023-11-09
20,1012.9,1016.4,27.1,21.6,72,0.6,220,2.7,310,0.0,0.0,--,0.00,--,0,--,2023-11-09
21,1013.2,1016.7,26.5,21.3,73,1.7,160,3.3,180,0.0,0.0,--,0.00,--,0,--,2023-11-09
22,1013.2,1016.7,26.0,21.5,76,1.4,180,3.5,160,0.0,0.0,--,0.00,--,0,--,2023-11-09
23,1013.2,1016.7,25.7,21.4,77,1.1,170,2.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-09
24,1013.1,1016.6,25.5,21.4,78,1.6,160,3.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-09
01,1013.1,1016.6,25.1,21.6,81,1.4,160,3.8,160,0.0,0.0,--,0.00,--,0,--,2023-11-10
